old_frame,new_frame,old_x,old_y,new_x,old_y
4,5,319.78338623046875,99.00923156738281,319.5487060546875,99.68122863769531
4,5,313.7493896484375,257.12493896484375,314.297607421875,258.1841125488281
4,5,321.7439270019531,105.79489135742188,321.505615234375,106.51107025146484
4,5,264.2176208496094,120.06988525390625,264.3861999511719,120.74116516113281
5,6,237.35003662109375,151.3907012939453,237.51132202148438,151.6190643310547
5,6,301.4991149902344,104.49916076660156,302.1401062011719,104.45198059082031
5,6,272.46392822265625,104.58267211914062,272.76483154296875,104.6048583984375
5,6,310.06317138671875,211.46214294433594,310.5457763671875,211.45372009277344
5,6,264.5021667480469,152.65896606445312,264.7055969238281,152.70590209960938
5,6,181.8526153564453,185.61285400390625,181.8077392578125,185.1326141357422
5,6,174.8717498779297,186.6527099609375,174.80313110351562,186.21347045898438
